Starting Training Loop...
[10/20][150/434]	Loss_D: 0.7794	Loss_G: 2.3126	D(x): 0.7021	D(G(z)): 0.2745 / 0.1397
[10/20][200/434]	Loss_D: 0.6944	Loss_G: 3.4553	D(x): 0.7500	D(G(z)): 0.2738 / 0.0463
[10/20][250/434]	Loss_D: 0.8010	Loss_G: 1.4476	D(x): 0.5855	D(G(z)): 0.1369 / 0.2912
[10/20][300/434]	Loss_D: 0.6623	Loss_G: 3.0486	D(x): 0.7610	D(G(z)): 0.2791 / 0.0636
[10/20][350/434]	Loss_D: 0.7524	Loss_G: 2.8334	D(x): 0.6457	D(G(z)): 0.1914 / 0.0853
[10/20][400/434]	Loss_D: 0.7399	Loss_G: 1.1641	D(x): 0.5842	D(G(z)): 0.1036 / 0.3617
[11/20][0/434]	Loss_D: 0.6918	Loss_G: 2.1215	D(x): 0.6618	D(G(z)): 0.1231 / 0.1876
[11/20][50/434]	Loss_D: 2.3678	Loss_G: 6.1411	D(x): 0.9830	D(G(z)): 0.8271 / 0.0063
[11/20][100/434]	Loss_D: 0.6444	Loss_G: 2.3044	D(x): 0.6846	D(G(z)): 0.1376 / 0.1435
[11/20][150/434]	Loss_D: 0.6642	Loss_G: 3.7597	D(x): 0.7910	D(G(z)): 0.2884 / 0.0360
[11/20][200/434]	Loss_D: 0.9362	Loss_G: 2.0084	D(x): 0.5537	D(G(z)): 0.1795 / 0.1810
[11/20][250/434]	Loss_D: 1.1749	Loss_G: 4.4292	D(x): 0.9280	D(G(z)): 0.6093 / 0.0180
[11/20][300/434]	Loss_D: 0.7827	Loss_G: 3.0348	D(x): 0.8026	D(G(z)): 0.3471 / 0.0787
[11/20][350/434]	Loss_D: 0.3689	Loss_G: 3.0942	D(x): 0.9104	D(G(z)): 0.2090 / 0.0667
[11/20][400/434]	Loss_D: 0.7841	Loss_G: 1.9280	D(x): 0.6370	D(G(z)): 0.2111 / 0.1865
[12/20][0/434]	Loss_D: 0.8923	Loss_G: 1.7852	D(x): 0.5454	D(G(z)): 0.0875 / 0.2336
[12/20][50/434]	Loss_D: 0.6544	Loss_G: 3.2488	D(x): 0.8614	D(G(z)): 0.3386 / 0.0542
[12/20][100/434]	Loss_D: 1.9764	Loss_G: 6.4438	D(x): 0.9423	D(G(z)): 0.7956 / 0.0035
[12/20][150/434]	Loss_D: 0.5249	Loss_G: 2.1850	D(x): 0.7636	D(G(z)): 0.1546 / 0.1557
[12/20][200/434]	Loss_D: 1.6061	Loss_G: 6.1253	D(x): 0.9502	D(G(z)): 0.7288 / 0.0059
